ds,yhat
2025-06-30,48527.68326571294
2025-07-31,54840.42735905215
2025-08-31,47741.06334888963
2025-09-30,36265.3179498668
2025-10-31,56075.134426887045
2025-11-30,45980.80556103071
2025-12-31,38011.70356892725
2026-01-31,48407.6534948665
2026-02-28,31032.661106413336
2026-03-31,41916.616012574195
2026-04-30,37663.67447648917
2026-05-31,48370.562333145666
2026-06-30,37369.33273814771
2026-07-31,58845.12904367068
2026-08-31,54683.41025707941
2026-09-30,46280.98338396678
2026-10-31,47523.318854339566
2026-11-30,42003.29916849916
2026-12-31,36103.02332368012
