ds,yhat
2025-06-30,81898.42998928207
2025-07-31,60537.361251569484
2025-08-31,58767.82878603229
2025-09-30,70816.42298614097
2025-10-31,61491.42430367426
2025-11-30,77648.62347376233
2025-12-31,56083.15429028551
2026-01-31,42575.03048133009
2026-02-28,53338.590277843956
2026-03-31,75001.56671716443
2026-04-30,57348.37771618356
2026-05-31,44786.19540264853
2026-06-30,81155.56150694223
2026-07-31,53671.01445159151
2026-08-31,68170.00120311072
2026-09-30,72931.69910511622
2026-10-31,66872.47071103273
2026-11-30,70213.18406297459
2026-12-31,54250.20361203574
